FechaObservacion,ValorObservado
2008-01-02 00:00:00,78.0
2008-01-03 00:00:00,83.0
2008-01-04 00:00:00,82.0
2008-01-05 00:00:00,77.0
2008-01-06 00:00:00,82.0
2008-01-07 00:00:00,85.0
2008-01-08 00:00:00,87.0
2008-01-09 00:00:00,86.0
2008-01-10 00:00:00,83.0
2008-01-11 00:00:00,85.0
2008-01-12 00:00:00,80.0
2008-01-13 00:00:00,85.0
2008-01-14 00:00:00,87.0
2008-01-15 00:00:00,87.0
2008-01-16 00:00:00,82.0
2008-01-17 00:00:00,83.0
2008-01-18 00:00:00,78.0
2008-01-19 00:00:00,79.0
2008-01-20 00:00:00,81.0
2008-01-21 08:00:00,79.0
2008-01-22 17:00:00,81.0
2008-01-23 00:00:00,81.0
2008-01-24 01:00:00,73.0
2008-01-25 00:00:00,79.0
2008-01-26 00:00:00,83.0
2008-01-27 00:00:00,84.0
2008-01-28 00:00:00,83.0
2008-01-29 00:00:00,78.0
2008-01-30 01:00:00,85.0
2008-01-31 01:00:00,83.0
2008-02-01 00:00:00,75.0
2008-02-02 01:00:00,80.0
2008-02-03 00:00:00,80.0
2008-02-04 00:00:00,74.0
2008-02-05 00:00:00,83.0
2008-02-06 00:00:00,76.0
2008-02-07 02:00:00,81.0
2008-02-08 00:00:00,81.0
2008-02-09 00:00:00,74.0
2008-02-10 00:00:00,84.0
2008-02-11 00:00:00,88.0
2008-02-12 00:00:00,83.0
2008-02-13 00:00:00,83.0
2008-02-14 00:00:00,85.0
2008-02-18 20:00:00,81.0
2008-02-19 00:00:00,82.0
2008-02-20 00:00:00,85.0
2008-02-21 00:00:00,84.0
2008-02-22 00:00:00,85.0
2008-02-23 00:00:00,83.0
2008-02-24 00:00:00,82.0
2008-02-25 00:00:00,85.0
2008-02-26 00:00:00,79.0
2008-02-27 00:00:00,85.0
2008-02-28 00:00:00,86.0
2008-02-29 00:00:00,85.0
2008-03-01 00:00:00,84.0
2008-03-02 00:00:00,86.0
2008-03-03 00:00:00,84.0
2008-04-11 21:00:00,85.0
2008-04-12 00:00:00,85.0
2008-06-05 13:00:00,78.0
2008-06-06 00:00:00,89.0
2008-06-07 08:00:00,82.0
2008-06-08 00:00:00,88.0
2008-06-09 07:00:00,91.0
2008-06-10 08:00:00,84.0
2008-06-11 07:00:00,86.0
2008-06-12 00:00:00,84.0
2008-06-13 00:00:00,87.0
2008-06-14 00:00:00,89.0
2008-06-15 00:00:00,90.0
2008-06-16 00:00:00,88.0
2008-06-17 00:00:00,88.0
2008-06-18 00:00:00,89.0
2008-06-19 00:00:00,88.0
2008-06-20 00:00:00,87.0
2008-06-21 00:00:00,85.0
2008-06-22 00:00:00,77.0
2008-06-23 00:00:00,88.0
