FechaObservacion;ValorObservado
8/02/2008 0:00;81.0
9/02/2008 0:00;74.0
10/02/2008 0:00;84.0
11/02/2008 0:00;88.0
12/02/2008 0:00;83.0
13/02/2008 0:00;83.0
14/02/2008 0:00;85.0
18/02/2008 20:00;81.0
19/02/2008 0:00;82.0
20/02/2008 0:00;85.0
21/02/2008 0:00;84.0
22/02/2008 0:00;85.0
23/02/2008 0:00;83.0
24/02/2008 0:00;82.0
25/02/2008 0:00;85.0
26/02/2008 0:00;79.0
27/02/2008 0:00;85.0
28/02/2008 0:00;86.0
29/02/2008 0:00;85.0
1/03/2008 0:00;84.0
2/03/2008 0:00;86.0
3/03/2008 0:00;84.0
11/04/2008 21:00;85.0
12/04/2008 0:00;85.0
5/06/2008 13:00;78.0
6/06/2008 0:00;89.0
7/06/2008 8:00;82.0
8/06/2008 0:00;88.0
9/06/2008 7:00;91.0
10/06/2008 8:00;84.0
11/06/2008 7:00;86.0
12/06/2008 0:00;84.0
13/06/2008 0:00;87.0
14/06/2008 0:00;89.0
15/06/2008 0:00;90.0
16/06/2008 0:00;88.0
17/06/2008 0:00;88.0
18/06/2008 0:00;89.0
19/06/2008 0:00;88.0
20/06/2008 0:00;87.0
21/06/2008 0:00;85.0
22/06/2008 0:00;77.0
23/06/2008 0:00;88.0
24/06/2008 0:00;88.0
25/06/2008 0:00;83.0
26/06/2008 0:00;89.0
27/06/2008 0:00;82.0
28/06/2008 0:00;83.0
29/06/2008 0:00;89.0
30/06/2008 0:00;88.0
1/07/2008 0:00;87.0
2/07/2008 0:00;87.0
3/07/2008 0:00;87.0
4/07/2008 0:00;85.0
5/07/2008 0:00;88.0
6/07/2008 0:00;82.0
7/07/2008 0:00;82.0
8/07/2008 0:00;88.0
9/07/2008 0:00;85.0
10/07/2008 0:00;86.0
11/07/2008 0:00;87.0
12/07/2008 0:00;89.0
13/07/2008 0:00;87.0
14/07/2008 0:00;83.0
15/07/2008 0:00;87.0
16/07/2008 0:00;88.0
17/07/2008 0:00;93.0
18/07/2008 0:00;87.0
19/07/2008 0:00;87.0
20/07/2008 0:00;87.0
21/07/2008 1:00;81.0
22/07/2008 0:00;87.0
23/07/2008 0:00;85.0
24/07/2008 0:00;82.0
25/07/2008 0:00;87.0
26/07/2008 0:00;80.0
27/07/2008 9:00;79.0
28/07/2008 1:00;89.0
29/07/2008 1:00;87.0
30/07/2008 0:00;87.0
31/07/2008 0:00;86.0
1/08/2008 0:00;79.0
2/08/2008 0:00;87.0
3/08/2008 0:00;88.0
4/08/2008 0:00;87.0
5/08/2008 8:00;83.0
6/08/2008 0:00;86.0
7/08/2008 0:00;87.0
8/08/2008 0:00;81.0
9/08/2008 0:00;87.0
10/08/2008 0:00;87.0
11/08/2008 1:00;89.0
12/08/2008 0:00;87.0
13/08/2008 0:00;85.0
14/08/2008 0:00;82.0
15/08/2008 8:00;86.0
16/08/2008 0:00;86.0
17/08/2008 0:00;88.0
18/08/2008 0:00;82.0
19/08/2008 0:00;77.0
20/08/2008 0:00;91.0
21/08/2008 0:00;82.0
22/08/2008 0:00;82.0
23/08/2008 0:00;91.0
24/08/2008 0:00;87.0
25/08/2008 0:00;90.0
26/08/2008 0:00;85.0
27/08/2008 0:00;85.0
28/08/2008 8:00;87.0
29/08/2008 0:00;85.0
30/08/2008 0:00;85.0
31/08/2008 0:00;84.0
1/09/2008 0:00;83.0
2/09/2008 0:00;88.0
3/09/2008 0:00;86.0
4/09/2008 0:00;77.0
5/09/2008 0:00;79.0
6/09/2008 0:00;85.0
7/09/2008 0:00;85.0
8/09/2008 0:00;85.0
9/09/2008 0:00;83.0
10/09/2008 0:00;87.0
11/09/2008 0:00;87.0
12/09/2008 0:00;86.0
13/09/2008 0:00;87.0
14/09/2008 0:00;87.0
15/09/2008 0:00;84.0
16/09/2008 0:00;89.0
17/09/2008 0:00;80.0
18/09/2008 0:00;82.0
19/09/2008 0:00;83.0
20/09/2008 1:00;85.0
21/09/2008 0:00;88.0
22/09/2008 0:00;85.0
23/09/2008 0:00;85.0
24/09/2008 0:00;75.0
25/09/2008 0:00;89.0
26/09/2008 0:00;82.0
27/09/2008 0:00;86.0
28/09/2008 0:00;83.0
29/09/2008 0:00;87.0
30/09/2008 0:00;88.0
1/10/2008 0:00;92.0
2/10/2008 0:00;89.0
